pc,delta_in,delta_out
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852194,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791481
140269433852260,-113791481,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,-113791473
140269433852216,-113791473,-8
140269433852231,-8,113791481
140269433852276,113791481,1
140269433852054,1,-1
140269433852140,-1,1
140269433852187,1,-113791474
140269433852194,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-1
140269433852041,-1,1
140269433852054,1,-1
140269433852140,-1,1
140269433852187,1,-113791474
140269433852194,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-1
140269433852041,-1,1
140269433852054,1,-1
140269433852140,-1,1
140269433852187,1,-113791482
140269433852164,-113791482,113791482
140269433852187,113791482,-113791474
140269433852194,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
140269433852216,-113791474,-8
140269433852231,-8,113791482
140269433852276,113791482,-113791474
